"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,6,"BFGS",2e-04,150,151,37.0981921671254,150,97,97,97,115,151,178,202,202,208,150,30,1
2,7,"BFGS",2e-04,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,8,"BFGS",2e-04,115,127,37.914604592153,115,52,52,58,79,127,142,163,163,166,115,30,1
2,9,"BFGS",2e-04,96.4,97,32.083511717671,96.4,43,43,55,70,97,115,136,136,163,96.4,30,1
2,1,"NELDERDOERR",2e-04,34.4666666666667,34,3.31904985711619,34.4666666666667,29,29,30,32,34,36,39,39,41,34.4666666666667,30,1
2,10,"NELDERDOERR",2e-04,73.7333333333333,70,9.0627442495821,73.7333333333333,65,65,66,66,70,78,87,87,95,73.7333333333333,30,1
2,11,"NELDERDOERR",2e-04,72.9333333333333,69,12.2303560535007,72.9333333333333,60,60,61,65,69,74,99,99,100,72.9333333333333,30,1
2,12,"NELDERDOERR",2e-04,188.533333333333,101,192.326183655633,188.533333333333,63,63,66,76,101,182,370,370,806,188.533333333333,30,1
2,13,"NELDERDOERR",2e-04,82.4666666666667,77,13.8955049376143,82.4666666666667,65,65,68,75,77,86,111,111,114,82.4666666666667,30,1
2,14,"NELDERDOERR",2e-04,49.5333333333333,51,5.87063606571656,49.5333333333333,36,36,43,45,51,55,55,55,57,49.5333333333333,30,1
2,15,"NELDERDOERR",2e-04,1428.86666666667,1416,1049.63230781507,1428.86666666667,56,56,315,533,1416,1720,3240,3240,3566,1428.86666666667,30,1
2,16,"NELDERDOERR",2e-04,389,254,293.97607221419,389,54,54,58,65,254,651,785,785,908,389,30,1
2,17,"NELDERDOERR",2e-04,3280.35714285714,3829,2047.53215891691,4880.66666666667,168,168,853,1185,3757,4344,6246,7011,7011,5229.28571428571,28,0.933333333333333
2,18,"NELDERDOERR",2e-04,10409.1666666667,7107,8890.69792177374,14627.5333333333,479,479,479,3772,6523,12444,22466,29633,29633,18284.4166666667,24,0.8
2,19,"NELDERDOERR",2e-04,1771.93333333333,916,1829.76450215139,1771.93333333333,184,184,468,599,916,1488,5121,5121,6603,1771.93333333333,30,1
2,2,"NELDERDOERR",2e-04,61.6666666666667,61,2.77094946174416,61.6666666666667,58,58,59,60,61,63,65,65,69,61.6666666666667,30,1
2,20,"NELDERDOERR",2e-04,1047.86666666667,824,814.642453127003,1047.86666666667,46,46,61,281,824,1535,2602,2602,2708,1047.86666666667,30,1
2,21,"NELDERDOERR",2e-04,469.333333333333,157,694.593472438392,469.333333333333,28,28,28,33,157,442,1438,1438,2458,469.333333333333,30,1
2,22,"NELDERDOERR",2e-04,312.866666666667,336,299.797142142452,312.866666666667,8,8,17,40,336,379,817,817,819,312.866666666667,30,1
2,23,"NELDERDOERR",2e-04,309.533333333333,289,232.556071597328,309.533333333333,107,107,110,120,289,310,629,629,943,309.533333333333,30,1
2,24,"NELDERDOERR",2e-04,19179.5,17178,11826.4869101675,30356,6970,6970,6970,7896,9872,32715,33140,33140,33140,75890,12,0.4
2,3,"NELDERDOERR",2e-04,797.6,747,709.51861291228,797.6,68,68,72,173,747,1006,2018,2018,2117,797.6,30,1
2,4,"NELDERDOERR",2e-04,1618,1489,956.752337066787,1618,182,182,527,651,1489,1934,3170,3170,3190,1618,30,1
2,5,"NELDERDOERR",2e-04,8.85714285714286,8.5,2.90228882492429,9.26666666666667,5,5,5,6,8,12,12,13,13,9.92857142857143,28,0.933333333333333
2,6,"NELDERDOERR",2e-04,77.2,76,10.0220446671498,77.2,59,59,64,70,76,82,91,91,96,77.2,30,1
2,7,"NELDERDOERR",2e-04,1119.8,1031,1349.11312886754,1119.8,28,28,35,41,1031,1248,4055,4055,4162,1119.8,30,1
2,8,"NELDERDOERR",2e-04,140.4,150,41.5788407726815,140.4,71,71,75,107,150,167,193,193,194,140.4,30,1
2,9,"NELDERDOERR",2e-04,104.133333333333,96,30.7018289170299,104.133333333333,45,45,59,87,96,120,142,142,160,104.133333333333,30,1
2,1,"G3PCX",2e-04,167.066666666667,163,22.8562725614283,167.066666666667,139,139,142,143,163,181,196,196,217,167.066666666667,30,1
2,10,"G3PCX",2e-04,2354.26666666667,2082,1166.76425338991,2354.26666666667,978,978,1169,1476,2082,2634,4304,4304,4709,2354.26666666667,30,1
2,11,"G3PCX",2e-04,2444.26666666667,1384,3299.64086795385,2444.26666666667,296,296,500,777,1384,2379,3442,3442,14067,2444.26666666667,30,1
2,12,"G3PCX",2e-04,3782.46666666667,2270,3326.99588770134,3782.46666666667,1081,1081,1305,1443,2270,5079,8671,8671,12753,3782.46666666667,30,1
2,13,"G3PCX",2e-04,4296.13333333333,1400,5384.63730237803,4296.13333333333,432,432,615,724,1400,5406,10596,10596,18861,4296.13333333333,30,1
2,14,"G3PCX",2e-04,367.866666666667,379,168.771163849535,367.866666666667,145,145,181,201,379,484,633,633,642,367.866666666667,30,1
2,15,"G3PCX",2e-04,22590.4666666667,7014,30379.4539254608,22590.4666666667,236,236,267,299,7014,21460,73524,73524,98252,22590.4666666667,30,1
2,16,"G3PCX",2e-04,1954.53333333333,1666,1970.46365510556,1954.53333333333,257,257,281,373,1666,2792,4399,4399,7045,1954.53333333333,30,1
2,17,"G3PCX",2e-04,1924.6,2049,1386.22164720236,1924.6,367,367,370,439,2049,2908,3997,3997,4137,1924.6,30,1
2,18,"G3PCX",2e-04,34947.7142857143,23165,30793.7969413636,69642.2666666667,1981,1981,1981,5009,23165,52146,83765,83765,83765,149233.428571429,14,0.466666666666667
2,19,"G3PCX",2e-04,10809,8480,10716.9581569553,10809,380,380,387,2650,8480,13348,23375,23375,40925,10809,30,1
2,2,"G3PCX",2e-04,2220.2,1915,1232.81904033272,2220.2,918,918,939,1260,1915,2204,3863,3863,5127,2220.2,30,1
2,20,"G3PCX",2e-04,2947.33333333333,1657,3602.28398173402,2947.33333333333,183,183,186,250,1657,3034,9410,9410,10116,2947.33333333333,30,1
2,21,"G3PCX",2e-04,549.133333333333,146,978.107029378452,549.133333333333,96,96,115,121,146,165,1483,1483,3776,549.133333333333,30,1
2,22,"G3PCX",2e-04,339.2,271,285.177307217324,339.2,128,128,128,143,271,351,573,573,1275,339.2,30,1
2,23,"G3PCX",2e-04,1806.6,750,2174.02613314243,1806.6,579,579,623,675,750,919,5804,5804,7143,1806.6,30,1
2,24,"G3PCX",2e-04,NA,NA,NA,100028,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"G3PCX",2e-04,17772.8,9334,21599.7838373603,17772.8,300,300,1529,4420,9334,15226,37158,37158,84795,17772.8,30,1
2,4,"G3PCX",2e-04,27866.7142857143,18167.5,22241.1851750175,32675.6,5609,5609,8800,10933,16556,47195,62690,76053,76053,35009.5714285714,28,0.933333333333333
2,5,"G3PCX",2e-04,129.714285714286,115.5,46.4493807660013,140.133333333333,101,101,105,107,114,123,156,285,285,150.142857142857,28,0.933333333333333
2,6,"G3PCX",2e-04,298.733333333333,297,56.3761586521095,298.733333333333,194,194,200,273,297,338,357,357,397,298.733333333333,30,1
2,7,"G3PCX",2e-04,4556.66666666667,761,7245.56703158527,4556.66666666667,81,81,112,169,761,6619,14505,14505,25749,4556.66666666667,30,1
2,8,"G3PCX",2e-04,999.266666666667,622,592.409279149971,999.266666666667,425,425,441,505,622,1293,1906,1906,2011,999.266666666667,30,1
2,9,"G3PCX",2e-04,988.2,759,581.562485153514,988.2,479,479,493,589,759,1073,1761,1761,2575,988.2,30,1
2,1,"PSO",2e-04,1031.46666666667,1029,216.8819372669,1031.46666666667,596,596,756,866,1029,1187,1277,1277,1379,1031.46666666667,30,1
2,10,"PSO",2e-04,71696.0666666667,88472,50296.6653360482,71696.0666666667,10753,10753,13690,19558,88472,124605,131665,131665,141998,71696.0666666667,30,1
2,11,"PSO",2e-04,58892,52552.5,29792.2151974366,68299.2,16967,16967,29157,38193,51728,71111,95201,133451,133451,73177.7142857143,28,0.933333333333333
2,12,"PSO",2e-04,20754.8666666667,7587,26781.243057516,20754.8666666667,3924,3924,4022,4229,7587,22210,43964,43964,105000,20754.8666666667,30,1
2,13,"PSO",2e-04,61962.2142857143,33571.5,58438.2298312007,71164.7333333333,5617,5617,6282,18398,33060,78830,169854,170264,170264,76247.9285714286,28,0.933333333333333
2,14,"PSO",2e-04,2161.93333333333,2007,762.976428131995,2161.93333333333,914,914,1217,1644,2007,2643,3201,3201,3719,2161.93333333333,30,1
2,15,"PSO",2e-04,4164,3230.5,3279.93062257251,17219.7333333333,1700,1700,2625,2888,3217,3853,5261,15425,15425,18449.7142857143,28,0.933333333333333
2,16,"PSO",2e-04,3431.46153846154,2956,1648.22108300481,29640.6,2106,2106,2211,2749,2956,3476,3611,8807,8807,34200.6923076923,26,0.866666666666667
2,17,"PSO",2e-04,4546.86666666667,4459,649.131288635094,4546.86666666667,3631,3631,3740,3980,4459,5034,5514,5514,5596,4546.86666666667,30,1
2,18,"PSO",2e-04,11413.9333333333,8158,9178.41299081083,11413.9333333333,4629,4629,5476,6754,8158,12051,19035,19035,42195,11413.9333333333,30,1
2,19,"PSO",2e-04,1902,1590,1080.37075373098,1902,483,483,661,861,1590,2533,3204,3204,4296,1902,30,1
2,2,"PSO",2e-04,3409.86666666667,3529,516.076293032227,3409.86666666667,2443,2443,2606,3028,3529,3749,3851,3851,4412,3409.86666666667,30,1
2,20,"PSO",2e-04,3513.53333333333,2623,2749.92265387571,3513.53333333333,1567,1567,1640,2373,2623,2883,8360,8360,11797,3513.53333333333,30,1
2,21,"PSO",2e-04,496.642857142857,519,273.137763949327,13796.8666666667,30,30,120,339,505,682,765,1079,1079,14782.3571428571,28,0.933333333333333
2,22,"PSO",2e-04,623.4,569,379.403851797291,623.4,167,167,203,282,569,774,1209,1209,1536,623.4,30,1
2,23,"PSO",2e-04,23718.9333333333,17956,18660.4090928533,23718.9333333333,7732,7732,9900,12101,17956,23609,38905,38905,84687,23718.9333333333,30,1
2,24,"PSO",2e-04,20966.6,12034,15403.4450922873,140322.2,8156,8156,8156,8156,12034,24992,47862,47862,47862,420966.6,10,0.333333333333333
2,3,"PSO",2e-04,3036.26666666667,2859,873.7512836884,3036.26666666667,2323,2323,2349,2390,2859,3296,3991,3991,5654,3036.26666666667,30,1
2,4,"PSO",2e-04,3747.46666666667,3537,1101.83820494892,3747.46666666667,2303,2303,2406,2965,3537,3916,5994,5994,6284,3747.46666666667,30,1
2,5,"PSO",2e-04,95.1428571428571,87,22.6596627834643,99.4666666666667,42,42,82,83,84,119,122,122,122,106.571428571429,28,0.933333333333333
2,6,"PSO",2e-04,2211.66666666667,2301,369.72882265094,2211.66666666667,1338,1338,1606,2037,2301,2418,2684,2684,2687,2211.66666666667,30,1
2,7,"PSO",2e-04,782.733333333333,864,281.747127187059,782.733333333333,333,333,364,486,864,1008,1091,1091,1211,782.733333333333,30,1
2,8,"PSO",2e-04,3249.53333333333,3327,796.513252193295,3249.53333333333,1842,1842,2291,2481,3327,3811,3914,3914,4946,3249.53333333333,30,1
2,9,"PSO",2e-04,2640.06666666667,2665,800.511945390351,2640.06666666667,1266,1266,1438,2173,2665,2912,3591,3591,4062,2640.06666666667,30,1
2,1,"CMA-ES-CSA",2e-04,125.4,131,26.2449995237188,125.4,74,74,88,111,131,138,149,149,181,125.4,30,1
2,10,"CMA-ES-CSA",2e-04,412.866666666667,410,68.3922426198667,412.866666666667,303,303,326,349,410,451,488,488,563,412.866666666667,30,1
