"DIM","funcId","ID","target","mean","median","sd","PAR-1","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
2,24,"NELDERDOERR",2e-04,19179.5,17178,12403.7241141522,30356,6970,6970,6970,7896,9872,24484,32715,33140,33140,75890,6,0.4
2,3,"NELDERDOERR",2e-04,797.6,747,722.077439456066,797.6,68,68,72,173,747,1006,2018,2018,2117,797.6,15,1
2,4,"NELDERDOERR",2e-04,1618,1489,973.687321474404,1618,182,182,527,651,1489,1934,3170,3170,3190,1618,15,1
2,5,"NELDERDOERR",2e-04,8.85714285714286,8.5,2.95757548462465,9.26666666666667,5,5,5,6,8,11,12,12,13,9.92857142857143,14,0.933333333333333
2,6,"NELDERDOERR",2e-04,77.2,76,10.1994397605247,77.2,59,59,64,70,76,82,91,91,96,77.2,15,1
2,7,"NELDERDOERR",2e-04,1119.8,1031,1372.99309123223,1119.8,28,28,35,41,1031,1248,4055,4055,4162,1119.8,15,1
2,8,"NELDERDOERR",2e-04,140.4,150,42.3148065946526,140.4,71,71,75,107,150,167,193,193,194,140.4,15,1
2,9,"NELDERDOERR",2e-04,104.133333333333,96,31.2452663081413,104.133333333333,45,45,59,87,96,120,142,142,160,104.133333333333,15,1
2,1,"CMA-ES-CSA",2e-04,125.4,131,26.7095488542955,125.4,74,74,88,111,131,138,149,149,181,125.4,15,1
2,10,"CMA-ES-CSA",2e-04,412.866666666667,410,69.6028187716013,412.866666666667,303,303,326,349,410,451,488,488,563,412.866666666667,15,1
2,11,"CMA-ES-CSA",2e-04,417.466666666667,409,66.2817219651592,417.466666666667,284,284,368,391,409,427,479,479,597,417.466666666667,15,1
2,12,"CMA-ES-CSA",2e-04,940.866666666667,500,1089.22501064267,940.866666666667,308,308,347,422,500,527,3406,3406,3659,940.866666666667,15,1
2,13,"CMA-ES-CSA",2e-04,375.066666666667,368,31.2946062597436,375.066666666667,302,302,327,364,368,400,410,410,412,375.066666666667,15,1
2,14,"CMA-ES-CSA",2e-04,219.133333333333,220,58.7948815394512,219.133333333333,137,137,150,163,220,260,306,306,308,219.133333333333,15,1
2,15,"CMA-ES-CSA",2e-04,1788.6,2068,1223.05698967791,1788.6,223,223,242,962,2068,2426,3967,3967,4019,1788.6,15,1
2,16,"CMA-ES-CSA",2e-04,916.4,529,822.750422146873,916.4,237,237,267,299,529,1236,1355,1355,3421,916.4,15,1
2,17,"CMA-ES-CSA",2e-04,859.8,984,547.537108983753,859.8,278,278,327,372,984,1137,1308,1308,2234,859.8,15,1
2,18,"CMA-ES-CSA",2e-04,1525.6,1370,851.820806105536,1525.6,409,409,417,971,1370,1664,2813,2813,2824,1525.6,15,1
2,19,"CMA-ES-CSA",2e-04,3372.4,2753,2924.04616438054,3372.4,158,158,353,810,2753,4189,8104,8104,10192,3372.4,15,1
2,2,"CMA-ES-CSA",2e-04,409.466666666667,404,46.7483638623805,409.466666666667,325,325,338,393,404,446,473,473,489,409.466666666667,15,1
2,20,"CMA-ES-CSA",2e-04,3589.46666666667,3787,2866.21280404914,3589.46666666667,163,163,209,349,3787,4487,7933,7933,8837,3589.46666666667,15,1
2,21,"CMA-ES-CSA",2e-04,1008.06666666667,703,1264.14971235139,1008.06666666667,61,61,67,82,703,876,3361,3361,3611,1008.06666666667,15,1
2,22,"CMA-ES-CSA",2e-04,3826.4,759,7695.02998973085,3826.4,157,157,213,315,759,1491,20757,20757,24331,3826.4,15,1
2,23,"CMA-ES-CSA",2e-04,2600.66666666667,1340,2715.00167499729,2600.66666666667,869,869,960,976,1340,2157,8415,8415,9057,2600.66666666667,15,1
2,24,"CMA-ES-CSA",2e-04,NA,NA,NA,201201,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,3,"CMA-ES-CSA",2e-04,2271.26666666667,2359,1858.69914059218,2271.26666666667,263,263,279,1003,2359,2657,4803,4803,7306,2271.26666666667,15,1
2,4,"CMA-ES-CSA",2e-04,25825.5,16922.5,21393.0484674524,37601.2666666667,1160,1160,1160,9573,16833,35080,63933,63933,67374,40287.0714285714,14,0.933333333333333
2,5,"CMA-ES-CSA",2e-04,20.7142857142857,18.5,12.4432778975303,23,8,8,8,10,18,26,34,34,50,24.6428571428571,14,0.933333333333333
2,6,"CMA-ES-CSA",2e-04,323.333333333333,311,66.1056153511363,323.333333333333,210,210,266,293,311,328,429,429,478,323.333333333333,15,1
2,7,"CMA-ES-CSA",2e-04,289.866666666667,156,232.547035692833,289.866666666667,59,59,103,134,156,412,655,655,783,289.866666666667,15,1
2,8,"CMA-ES-CSA",2e-04,528.333333333333,428,248.706558781534,528.333333333333,232,232,259,296,428,719,906,906,957,528.333333333333,15,1
2,9,"CMA-ES-CSA",2e-04,423.133333333333,399,154.972747220124,423.133333333333,206,206,250,326,399,425,609,609,839,423.133333333333,15,1
2,1,"FULLNEWUOA",2e-04,7,7,0,7,7,7,7,7,7,7,7,7,7,7.5,14,0.933333333333333
2,10,"FULLNEWUOA",2e-04,562.066666666667,593,182.401623844067,562.066666666667,299,299,308,425,593,725,762,762,815,562.066666666667,15,1
2,11,"FULLNEWUOA",2e-04,567.4,546,247.093331123514,567.4,226,226,247,355,546,745,891,891,1027,567.4,15,1
2,12,"FULLNEWUOA",2e-04,400.071428571429,46,588.170496511881,519.933333333333,12,12,12,26,41,285,1142,1142,1785,557.071428571429,14,0.933333333333333
2,13,"FULLNEWUOA",2e-04,7139.5,7299,4645.07022859412,11566.5333333333,1073,1073,1073,2641,7093,10393,12545,13071,13071,21687.25,8,0.533333333333333
2,14,"FULLNEWUOA",2e-04,55.7333333333333,59,20.9981858626837,55.7333333333333,28,28,31,35,59,70,78,78,97,55.7333333333333,15,1
2,15,"FULLNEWUOA",2e-04,2937.78571428571,3029.5,1871.13873919565,3412.33333333333,457,457,457,1554,2879,3327,5936,5936,7034,3656.07142857143,14,0.933333333333333
2,16,"FULLNEWUOA",2e-04,1953.07142857143,578.5,2750.82047800248,2722.86666666667,29,29,29,167,450,915,6991,6991,7374,2917.35714285714,14,0.933333333333333
2,17,"FULLNEWUOA",2e-04,4944.5,5081.5,4466.81471147692,9864.8,265,265,265,265,2039,8124,9350,9350,9350,36993,4,0.266666666666667
2,18,"FULLNEWUOA",2e-04,NA,NA,NA,13338,NA,NA,NA,NA,NA,NA,NA,NA,NA,Inf,0,0
2,19,"FULLNEWUOA",2e-04,2142.84615384615,1616,2236.17254276714,3283,43,43,43,340,1291,2449,4387,4387,8392,3788.07692307692,13,0.866666666666667
2,2,"FULLNEWUOA",2e-04,401.133333333333,301,230.835707397109,401.133333333333,98,98,210,246,301,458,722,722,985,401.133333333333,15,1
2,20,"FULLNEWUOA",2e-04,2273.71428571429,1590,2367.80610655555,2832.13333333333,136,136,136,706,1474,2885,3747,3747,9375,3034.42857142857,14,0.933333333333333
2,21,"FULLNEWUOA",2e-04,534.066666666667,453,520.681485674121,534.066666666667,23,23,81,194,453,532,971,971,2134,534.066666666667,15,1
2,22,"FULLNEWUOA",2e-04,297.8,266,276.293115575263,297.8,10,10,30,105,266,347,683,683,1083,297.8,15,1
2,23,"FULLNEWUOA",2e-04,4298,2586.5,5098.24055925179,10317.8,563,563,563,1035,2502,2671,4755,14262,14262,25794.5,6,0.4
