Test Problem;Optimizer;MIGD_total;MIGD_1st_stage;MIGD_2nd_stage;MIGD_3rd_stage;;;;;;;;
F5;HPPCM;0.0286(0.00739);0.0751(0.03516);0.0164(0.00422);0.0187(0.00654);;;;;;;;
F5;DSSP;0.0346(0.01242);0.1081(0.06103);0.0154(0.00267);0.0163(0.00342);;;;;;;;
F5;DVC;0.0269(0.00822);0.0653(0.04134);0.0232(0.00363);0.0185(0.00193);;;;;;;;
F6;FPS;0.0527(0.02733);0.1247(0.12065);0.0380(0.01241);0.0331(0.00457);;;;;;;;
F6;PPS;0.0525(0.02698);0.1989(0.13472);0.0216(0.00383);0.0138(0.00061);;;;;;;;
F6;CKPS;0.0210(0.00376);0.0468(0.01965);0.0148(0.00037);0.0149(0.00032);;;;;;;;
F6;SPPS;0.0219(0.00705);0.0514(0.03669);0.0148(0.00035);0.0150(0.00041);;;;;;;;
F6;HPPCM;0.0189(0.00492);0.0572(0.02582);0.0098(0.00041);0.0099(0.00054);;;;;;;;
F6;DSSP;0.0285(0.00555);0.0864(0.03281);0.0144(0.00126);0.0133(0.00061);;;;;;;;
F6;DVC;0.0182(0.00277);0.0450(0.01413);0.0138(0.00081);0.0144(0.00032);;;;;;;;
F7;FPS;0.1234(0.03443);0.3422(0.07395);0.0835(0.04439);0.0594(0.02857);;;;;;;;
F7;PPS;0.0923(0.04434);0.4108(0.22451);0.0202(0.00377);0.0130(0.00066);;;;;;;;
F7;CKPS;0.0227(0.00803);0.0595(0.04207);0.0139(0.00035);0.0140(0.00036);;;;;;;;
F7;SPPS;0.0212(0.00399);0.0504(0.02056);0.0142(0.00031);0.0143(0.00048);;;;;;;;
F7;HPPCM;0.0166(0.00743);0.0503(0.03906);0.0088(0.00017);0.0085(0.00032);;;;;;;;
F7;DSSP;0.0243(0.01323);0.0974(0.07122);0.0086(0.00051);0.0090(0.00050);;;;;;;;
F7;DVC;0.0180(0.00266);0.0417(0.01381);0.0104(0.00050);0.0127(0.00064);;;;;;;;
F8;FPS;0.1440(0.00510);0.1969(0.02507);0.1302(0.00413);0.1325(0.00441);;;;;;;;
F8;PPS;0.1511(0.01251);0.2317(0.05906);0.1330(0.00442);0.1310(0.00411);;;;;;;;
F8;CKPS;0.1560(0.00520);0.2117(0.02517);0.1418(0.00546);0.1437(0.00452);;;;;;;;
