"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,1,"FULLNEWUOA",4361,30,0.815044843333333,0,3.10175256683739,0,0,0,0,0,0,0,6.72411995749997,12.22567265
2,10,"FULLNEWUOA",4361,30,7.79529235267333e-09,9.216535091e-09,3.83580565078432e-09,3.412878868e-10,5.36127231475e-10,7.742642083e-10,7.5403416845e-09,9.216535091e-09,9.871765627e-09,9.98366545e-09,1.22756986825e-08,1.41509986e-08
2,11,"FULLNEWUOA",4361,30,1.11552158914667e-08,8.913170646e-09,1.07638191235146e-08,5.182975826e-09,5.24462571125e-09,5.319975571e-09,7.7154331815e-09,8.913170646e-09,9.83547554475e-09,9.998814221e-09,3.21945357464499e-08,5.035467154e-08
2,12,"FULLNEWUOA",4361,30,0.0674140311115612,3.917648428e-10,0.256552303667635,0,0,0,0,3.917648428e-10,9.29181887e-09,9.996057315e-09,0.556165731648223,1.011210413
2,13,"FULLNEWUOA",4361,30,0.034077145441828,0.005438060316,0.097251652773335,2.207411285e-05,2.54078031335e-05,2.948231348e-05,0.000602711623925,0.005438060316,0.0134376773,0.05134328354,0.236822540667999,0.3885782965
2,14,"FULLNEWUOA",4361,30,2.09781262590667e-08,2.0814241e-08,8.64042611631957e-09,6.28428154e-09,7.6681025977e-09,9.359439446e-09,1.54966883775e-08,2.0814241e-08,2.483177575e-08,3.669893545e-08,3.7487238559e-08,3.813221383e-08
2,15,"FULLNEWUOA",4361,30,0.199183991212846,3.950219707e-09,0.405178423962391,2.785540687e-10,5.39404609885e-10,8.58221938e-10,1.723972076e-09,3.950219707e-09,2.195812953875e-08,0.9955198058,0.99648773012,0.9972796682
2,16,"FULLNEWUOA",4361,30,0.00083668082068222,6.113879181e-08,0.0017968684612863,2.499902507e-10,7.33644966935e-10,1.324778509e-09,3.287606631e-09,6.113879181e-08,0.0002079476866875,0.003887566822,0.00510404364564999,0.006099342865
2,17,"FULLNEWUOA",4361,30,0.037933989584602,0.009072486263,0.0682665003483046,3.035444727e-05,3.22159243305e-05,3.449106296e-05,0.001501106345575,0.009072486263,0.0343897248675,0.1572989468,0.205300767755,0.2445749849
2,18,"FULLNEWUOA",4361,30,0.387615783142,0.2490026109,0.359337609593652,0.03192954024,0.0438175474095,0.05834733395,0.15734242875,0.2490026109,0.5361961568,0.7654522075,1.146242328475,1.457797882
2,19,"FULLNEWUOA",4361,30,0.00554789250264293,8.025011766e-09,0.00994770009967922,1.331542876e-09,1.38708244885e-09,1.454964149e-09,4.28034496775e-09,8.025011766e-09,0.011781353542228,0.02032303123,0.026443349093,0.03145088189
2,2,"FULLNEWUOA",4361,30,8.8419170654e-09,9.339743201e-09,4.34511794428704e-09,1.450871423e-09,3.0278755502e-09,4.955325039e-09,6.42286579475e-09,9.339743201e-09,9.949108204e-09,9.984034932e-09,1.66460473869e-08,2.209678485e-08
2,20,"FULLNEWUOA",4361,30,0.0938681297430096,5.684341886e-13,0.245113425909384,0,0,0,2.842170943e-14,5.684341886e-13,3.5726088755e-11,0.6263126041,0.711780806755,0.7817093362
2,21,"FULLNEWUOA",4361,30,6.68255569424175e-09,5.059177965e-09,5.61845121566014e-09,6.821210263e-13,3.93941945734465e-10,8.745928426e-10,3.40516059825e-09,5.059177965e-09,9.61324869725e-09,9.89604132e-09,1.76054953745e-08,2.391323051e-08
2,22,"FULLNEWUOA",4361,30,9.00764500013333e-09,8.910205906e-09,1.77533584958144e-09,5.069693998e-09,6.17322086785e-09,7.521975931e-09,8.411566554e-09,8.910205906e-09,9.76282876775e-09,9.93611593e-09,1.20454039625e-08,1.377118508e-08
2,23,"FULLNEWUOA",4361,30,0.104737795547558,0.03958859835,0.128551104598792,3.790556202e-09,5.44231218405e-09,7.461125051e-09,0.000915248647155075,0.03958859835,0.15763760785,0.217028836,0.359680893294999,0.4763962129
2,24,"FULLNEWUOA",4361,30,0.371874638051114,0.4679944836,0.305113465247968,0,7.220464227e-10,1.604547606e-09,0.0598743098225,0.4679944836,0.58306351885,0.8309585915,0.86590449986,0.8944966067
2,3,"FULLNEWUOA",4361,30,5.45040655592933e-09,4.618088134e-09,4.79238201399112e-09,4.825073674e-11,1.20149823412e-10,2.080264849e-10,1.76389036725e-09,4.618088134e-09,8.404708041e-09,9.781729204e-09,1.46285373163e-08,1.859410759e-08
2,4,"FULLNEWUOA",4361,30,0.681991304036634,0.9950437726,0.646505728684554,1.22952315e-09,1.24516503795e-09,1.264282901e-09,8.66240679225e-09,0.9950437726,0.996706779925,0.9997892806,1.69067336207,2.255942156
2,5,"FULLNEWUOA",4361,30,0.350150109133333,0,1.33253895005447,0,0,0,0,0,0,0,2.88873840034998,5.252251637
2,6,"FULLNEWUOA",4361,30,7.76850299633333e-09,7.366764976e-09,2.65698491275246e-09,3.154354999e-09,4.1724590002e-09,5.416808335e-09,5.7987339375e-09,7.366764976e-09,9.79424186225e-09,9.974872484e-09,1.20589286098e-08,1.376406544e-08
