"DIM","funcId","ID","runtime","runs","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%"
2,22,"BIPOP-aCMA-STEP",4400,15,0.00758303579584545,1.74428294e-09,0.0293689596939659,1.823863726744e-10,3.15358406056e-10,4.2427075186e-10,5.7582383305e-10,1.74428294e-09,3.1179467895e-09,1.29456680036e-08,0.0341236589456186,0.0818967604582474
2,23,"BIPOP-aCMA-STEP",4400,15,0.104648705134024,1.9538596e-06,0.203761703531481,9.71386952936e-10,1.51826213789e-09,3.6690710912e-09,7.204413066e-09,1.9538596e-06,0.08757000453,0.32236583896,0.45480498008,0.616919709752
2,24,"BIPOP-aCMA-STEP",4400,15,0.94318810466,0.7251908978,0.799864581518711,0.13798960096,0.18516130015,0.22567553708,0.34984942925,0.7251908978,1.0890131655,2.0976020976,2.3619385592,2.61762998288
2,3,"BIPOP-aCMA-STEP",4400,15,3.00560968709267e-09,1.460676913e-09,3.16116034036026e-09,3.3951437218e-11,6.1729110715e-11,3.30885541202e-10,7.376428357e-10,1.460676913e-09,5.56494717e-09,7.8412199398e-09,8.524187933e-09,8.746385447e-09
2,4,"BIPOP-aCMA-STEP",4400,15,0.127863564232221,1.315953568e-09,0.384571026050726,4.263256414536e-12,9.63495949689e-12,1.522266757e-11,5.57832891e-10,1.315953568e-09,6.2869176535e-09,0.282523361180042,0.763734934979999,1.173742676592
2,1,"NELDERDOERR",4400,15,6.21180144393333e-12,4.888534022e-12,4.63725378350786e-12,1.6370904634e-12,1.8012258355e-12,2.1628920878e-12,3.048228336e-12,4.888534022e-12,8.682832231e-12,1.1124257074e-11,1.3747580855e-11,1.6600552046e-11
2,10,"NELDERDOERR",4400,15,1.76588817663667e-11,4.376943252e-12,4.63459231408445e-11,7.9978690332e-13,1.02957642405e-12,1.3471890268e-12,2.486899575e-12,4.376943252e-12,8.2138740255e-12,1.54187773652e-11,6.87023771299998e-11,1.38086875292e-10
2,11,"NELDERDOERR",4400,15,5.473665965e-12,4.632738637e-12,3.79738406285282e-12,1.73713488064e-12,1.7848833526e-12,2.3092638916e-12,3.7232439355e-12,4.632738637e-12,5.940137271e-12,7.7889694694e-12,1.11231912565e-11,1.50072310126e-11
2,12,"NELDERDOERR",4400,15,1.03732844505955e-10,5.513811629e-12,3.57619655726586e-10,9.80548975216e-14,2.02504679659e-13,9.50706180540001e-13,3.73745479e-12,5.513811629e-12,1.9831247755e-11,4.185380931e-11,4.51282033828999e-10,1.0178206363316e-09
2,13,"NELDERDOERR",4400,15,1.24624458914e-11,9.858780459e-12,7.14582750744869e-12,4.41559677692e-12,4.5588421928e-12,6.0197180578e-12,8.3346662905e-12,9.858780459e-12,1.442401754e-11,2.211493211e-11,2.5626434309e-11,2.82585688196e-11
